date,GPD_per_capita,eu_prod_index,value
17168,48686.06404974801,101.71767498734987,867103.2327039827
17169,48682.216504452925,101.87495962792879,752672.9878106237
17178,48684.89729972988,103.14337818088275,865041.696398353
17182,48692.781707334565,102.88558842773172,793665.7345531206
17197,48678.24030313468,102.72919743278983,915009.3957583879
17202,48678.307369158014,102.32254781649557,814851.4510708594
17202,48687.89928851567,103.2135203462307,777446.9520748607
17203,48677.0906361062,102.30680860641615,1008905.4928952089
17208,48681.47665302429,105.03366569869453,687220.091018084
17214,48678.22211084184,102.02782427265683,1010041.6937595807
17219,48677.706604187755,102.31398092316572,922765.3309004756
17219,48676.40525258675,102.69019113091831,809554.7445102844
17221,48677.111884583195,103.43003264087592,933594.6591819115
17222,48680.72508604294,102.85755667019338,994175.1326969105
17222,48679.462157204165,103.26016412398438,827012.5848005181
17223,48683.2181432348,101.43469930847192,834766.644815135
17223,48679.982954904095,105.57903997889898,925944.6347483904
17223,48675.524817227146,102.73128078949867,944853.9552889894
17226,48680.005570810965,103.4582358645742,765243.5140979212
17226,48686.514176791556,102.56753036174537,758886.558866271
17229,48680.80260375501,103.80353367954429,808562.5849581581
17231,48675.48755296188,102.54642262867297,771739.9196794254
17231,52295.49061780173,103.2026707436953,905523.7428725883
17232,48678.94860299211,105.20121036868916,705161.9429572218
17233,48677.242493588725,102.28257837803024,838843.6939021677
17236,48676.55079237034,102.58985952395979,931453.2636101499
17237,48679.885774083545,102.64827846643584,992449.7347028498
17237,48681.67216685834,102.48147519600555,819416.8786487248
17237,48677.28322541985,102.05248951187846,886553.4240448384
17238,48682.222286671225,103.60069062839875,1089905.2225427013
17241,48675.54974220291,102.2137711607008,883974.6445731156
17241,48684.4594037495,102.74139737462399,722240.3797417836
17242,48685.92884610966,103.04106216030942,977028.0547603269
17243,48680.1174814017,105.1901216971666,818690.8129473184
17243,48691.04867224269,104.11427745538263,1082218.3666902303
17244,48676.85317736935,102.55995022468187,971033.5768570646
17245,48676.746664092054,104.98368852629824,826441.1687627559
17245,48675.64497598486,103.32220371199912,977946.3540282839
17246,48684.56366991731,102.59149899590842,783325.2587766589
17250,48686.08251365363,100.93052033003508,1056778.7744483487
17251,48690.480443530025,103.56721662338632,1036760.9920393635
17251,48679.655462653376,102.71921802589715,1260660.88759799
17252,48686.268934223095,102.73302315305851,1001978.4965017885
17256,48678.04208488024,103.17859745386147,790479.8732418866
17257,48679.67712863596,103.70190325514979,875724.3666151483
17257,52293.951296028186,101.31000370602507,824073.9113457105
17259,48682.48785426923,101.2779323284719,937114.9379636389
17259,48678.554021303156,105.38666492355775,682364.0457535619
17262,48676.36088100024,102.4749568013194,798874.1412514347
17262,48675.26164101039,102.36665063416329,722811.4058678381
17265,48676.307808438694,103.69065516984966,806535.7717370915
17266,48679.629877017345,105.12189388152885,670409.1198290054
17267,48687.646136755866,107.36023704080786,740549.3561655286
17267,48680.96824216413,105.14121081892942,773620.8587474632
17268,48684.948362910676,102.55861984027617,861674.2546923232
17269,48679.87899781289,103.34347624095803,876920.2375609728
